127.0.0.1 - - [11/Jun/2020:14:59:10 +0530] "GET / HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:59:11 +0530] "GET /spring-security-customlogin/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:59:11 +0530] "GET /spring-security-customlogin/myLoginPage HTTP/1.1" 200 2671
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:59:22 +0530] "POST /spring-security-customlogin/authenticateUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:59:22 +0530] "GET /spring-security-customlogin/ HTTP/1.1" 200 956
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:59:24 +0530] "GET /spring-security-customlogin/pf/main HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:59:26 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 4523
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:59:40 +0530] "GET /spring-security-customlogin/fl/FLdetailsShow?flid=1 HTTP/1.1" 200 6862
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:59:44 +0530] "GET /spring-security-customlogin/pf/main HTTP/1.1" 200 4418
0:0:0:0:0:0:0:1 - - [11/Jun/2020:14:59:47 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 4523
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:10:09 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5571
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:12:43 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5593
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:13:25 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5597
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:16:34 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5712
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:17:02 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5759
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:17:27 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5715
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:18:25 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5778
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:18:40 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:19:02 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5783
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:19:15 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5779
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:24:41 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5738
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:25:55 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5927
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:26:36 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 5926
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:30:34 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 6061
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:30:38 +0530] "GET /spring-security-customlogin/pf/showAddTxn?pid=3 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:30:41 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 6061
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:30:47 +0530] "GET /spring-security-customlogin/pf/listTxn?pid=3 HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [11/Jun/2020:15:30:49 +0530] "GET /spring-security-customlogin/pf/PFdetailsShow?pid=3 HTTP/1.1" 200 6061
