127.0.0.1 - - [31/Jul/2020:15:23:02 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:23:03 +0530] "GET /purple-pebbles/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:23:03 +0530] "GET /purple-pebbles/myLoginPage HTTP/1.1" 200 2331
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:23:04 +0530] "GET /metro/js/metro.js HTTP/1.1" 404 776
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:24:59 +0530] "POST /purple-pebbles/authenticateUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:25:00 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1369
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:26:41 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:27:27 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 510
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:28:00 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1352
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:29:46 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 662
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:31:00 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 665
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:31:13 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 664
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:32:47 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1100
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:32:58 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 905
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:33:46 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 907
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:34:06 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 912
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:36:12 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 938
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:37:15 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1827
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:37:59 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1364
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:38:28 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:38:57 +0530] "GET /purple-pebbles/examples.html HTTP/1.1" 404 682
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:38:59 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1363
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:39:38 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1773
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:40:19 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:45:23 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:46:47 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1319
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:48:41 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:49:34 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:50:10 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1337
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:50:21 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:50:37 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:50:51 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1338
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:51:09 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1357
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:51:18 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:51:50 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1359
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:52:03 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1316
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:52:28 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:52:30 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1283
0:0:0:0:0:0:0:1 - - [31/Jul/2020:15:52:58 +0530] "GET /purple-pebbles/ HTTP/1.1" 200 1260
